,Program,Header,Courses
0,"Africana Studies Humanities Track, B.A.",h2: A major in Africana Studies must include:,"[{'AFS-100 Introduction to Africana Studies': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61590&print'}, {'AFS-400 Africana Studies Capstone Course': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61591&print'}, {'ANT-202 Peoples of Africa and the African Diaspora': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60087&print'}, {'HST 145': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60546&print'}, '']"
1,"Africana Studies Humanities Track, B.A.",h2: Methods:,"[{'ANT-401 Anthropological Theory': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60095&print'}, {'HST-475 Senior Seminar in History': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60598&print'}, {'REL-401 Theory and Method in the Study of Religion': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61162&print'}, '*REL-401 enrollment is only available to Religion-Africana Studies double majors.']"
2,"Africana Studies Humanities Track, B.A.",h2: Humanities track electives:,"[{'ANT-202 Peoples of Africa and the African Diaspora': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60087&print'}, {'ANT-302 Anthropology of Race and Ethnicity': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60092&print'}, {'BIO-344 African Biodiversity and Conservation': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60168&print'}, {'COM-350 Lenses on Africa': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60306&print'}, {'COM-318 African American Rhetoric': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60312&print'}, {'COM-323 Race, Class and Gender in Media': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60299&print'}, {'ENG-346 American Slavery and the Novel': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60498&print'}, {'ENG-292 African-American Drama': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60500&print'}, {'ENG-293 Literature of the South': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60493&print'}, {'FRN-445 African Novel in French': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60727&print'}, {'HST-351 Travel Study in Africa': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60591&print'}, {'HST-224 American Civil War Era': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60571&print'}, {'HST-229 African-American Experience': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60573&print'}, {'HST-235 The Civil Rights Movement': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61660&print'}, {'HST-236 The United States South': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60577&print'}, {'MLL-245 African Literature': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60790&print'}, {'PHL-320 Critical Philosophy of Race': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61420&print'}, {'PHL-270 Africana Philosophies': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60971&print'}, {'PHL-265 Philosophy and Hip-Hop': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60970&print'}, {'PSY-219 Stereotyping, Prejudice, & Discrimination': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61689&print'}, {'REL-344 Black Liberation and Womanist Theologies': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61157&print'}, {'REL-276 Religion and Black Popular Culture': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61141&print'}, {'REL-232 African-American Religious History': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61127&print'}, {'REL-233 Martin Luther King and the Religion of Social Reform': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61313&print'}]"
3,"Africana Studies Humanities Track, B.A.",h2: One course in Art or Music from:,"[{'MUS-102 Introduction to Jazz': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60852&print'}, {'MUS-220 Music and Culture': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60865&print'}]"
4,"Africana Studies Humanities Track, B.A.",h2: One Social Science course,
5,"Africana Studies Social Sciences Track, B.A.",h2: A major in Africana Studies must include:,"[{'AFS-100 Introduction to Africana Studies': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61590&print'}, {'AFS-400 Africana Studies Capstone Course': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61591&print'}, {'ANT-202 Peoples of Africa and the African Diaspora': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60087&print'}, {'HST 145': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60546&print'}, '']"
6,"Africana Studies Social Sciences Track, B.A.",h2: Methods:,"[{'POL-150 Introduction to Political Analysis': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61015&print'}, {'PSY-201 Research Methods and Statistics I': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61082&print'}, {'SOC-303 Quantitative Research Seminar': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61188&print'}, {'SOC-304 Qualitative Research Seminar': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61189&print'}, '*PSY-201 enrollment is only available to Psychology-Africana Studies double majors.\n*SOC-303 and 470 enrollment are only available to Sociology-Africana Studies double majors.']"
7,"Africana Studies Social Sciences Track, B.A.",h2: Social Sciences track electives:,"[{'BIO-344 African Biodiversity and Conservation': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60168&print'}, {'ECN-237 Economics of Poverty and Inequality': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60408&print'}, {'POL-204 Civil Rights and the United States Constitution': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61018&print'}, {'POL-208 Urban Politics': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61022&print'}, {'POL-209 Southern Politics': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61023&print'}, {'POL-210 Interest Groups and Political Movements': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61024&print'}, {'POL-211 Racial and Ethnic Politics': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61025&print'}, {'POL-219 Crime and Policing': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61558&print'}, {'POL-224 Politics of Africa': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61036&print'}, {'POL-274 Black Political Thought': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61459&print'}, {'POL-442 Issues in African Politics': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61075&print'}, {'PSY-219 Stereotyping, Prejudice, & Discrimination': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61689&print'}, {'SOC-223 Urban Community': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61172&print'}, {'SOC-243 Race and Ethnic Relations': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61181&print'}, {'SOC-251 Social Movements and Collective Behavior': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=61182&print'}]"
8,"Africana Studies Social Sciences Track, B.A.",h2: One course in Art or Music from:,"[{'MUS-102 Introduction to Jazz': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60852&print'}, {'MUS-220 Music and Culture': 'https://catalog.furman.edu/preview_course.php?catoid=27&coid=60865&print'}]"
9,"Africana Studies Social Sciences Track, B.A.",h2: One Humanities course,
