,CourseCode,Section,CourseTitle,CourseTags,Prerequisites,CourseCluster,InstructionalFormat
0,ACC 120,01,Principles of Financial and Managerial Accounting,empty,(No credit for ACC 111 or ACC 301) AND (First-Year or Sophomore Class Standing),empty,Lecture
1,ACC 120,02,Principles of Financial and Managerial Accounting,empty,"(No credit for ACC 111 or ACC 301) equivalency AND (First-Year, Sophomore, or Junior class standing)",empty,Lecture
2,ACC 120,03,Principles of Financial and Managerial Accounting,empty,(No credit for ACC 111 or ACC 301),empty,Lecture
3,ACC 120,04,Principles of Financial and Managerial Accounting,empty,(No credit for ACC 111 or ACC 301) AND (First-Year or Sophomore Class Standing),empty,Lecture
4,ACC 311,01,Intermediate Accounting I,empty,"(ACC 111 or ACC 120) AND (First-Year, Sophomore, or Junior Class Standing) AND Instructor Permission Required",empty,Lecture
5,ACC 313,01,Intermediate Accounting III,empty,ACC 312 Intermediate Financial Accounting II,empty,Lecture
6,ACC 320,01,Cost Accounting,empty,ACC 111 Principles of Financial Accounting,empty,Lecture
7,ACC 330,01,Auditing,empty,ACC 312 Intermediate Financial Accounting II,empty,Lecture
8,AFS 100,01,Introduction to Africana Studies,IDS :: Africana Studies,empty,empty,Lecture
9,ANT 101,01,Introduction to Anthropology,"GER - CORE :: HB (Empirical Study of Human Behavior)/GER - Global Awareness :: IEJ (Identities, Equity, and Justice)/GER - Global Awareness :: WC (World Cultures)/IDS :: Anthropology",Instructor Permission Required,empty,Lecture
10,ANT 101,02,Introduction to Anthropology,"GER - CORE :: HB (Empirical Study of Human Behavior)/GER - Global Awareness :: IEJ (Identities, Equity, and Justice)/GER - Global Awareness :: WC (World Cultures)/IDS :: Anthropology",Instructor Permission Required,empty,Lecture
11,ANT 205,01,Japanese Popular Culture,GER - CORE :: VP (Human Cultures - Visual and Performing Arts)/GER - Global Awareness :: WC (World Cultures),empty,empty,Lecture
12,ANT 253,01,Anthropology of Development in Latin America,"GER - Global Awareness :: IEJ (Identities, Equity, and Justice)/GER - Global Awareness :: WC (World Cultures)/IDS :: Anthropology/IDS :: Latin American and Latinx Studies",empty,empty,Lecture
13,ANT 262,01,Magic and Religion,GER - Global Awareness :: WC (World Cultures)/IDS :: Anthropology,empty,empty,Lecture
14,ANT 306,01,Human Osteology & Paleopathology,GER - Global Awareness :: NE (Humans and the Natural Environment),empty,ANT 306-01L - Human Osteology & Paleopathology,Lecture
15,ANT 306,01L,Human Osteology & Paleopathology,GER - Global Awareness :: NE (Humans and the Natural Environment),empty,ANT 306-01 - Human Osteology & Paleopathology,Laboratory
16,ANT 327,01,Feminist Anthropology,"GER - CORE :: HB (Empirical Study of Human Behavior)/GER - Writing :: WR (Writing-Research Intensive)/IDS :: Anthropology/IDS :: Womenâ€™s, Gender, and Sexuality Studies",1 FYW course,empty,Lecture
17,ART 111,01,Introduction to Design,GER - CORE :: VP (Human Cultures - Visual and Performing Arts)/IDS :: Visual Strategy,empty,empty,Studio
18,ART 111,02,Introduction to Design,GER - CORE :: VP (Human Cultures - Visual and Performing Arts)/IDS :: Visual Strategy,empty,empty,Studio
19,ART 111,03,Introduction to Design,GER - CORE :: VP (Human Cultures - Visual and Performing Arts)/IDS :: Visual Strategy,empty,empty,Studio
20,ART 112,01,Introduction to Sculpture,GER - CORE :: VP (Human Cultures - Visual and Performing Arts),empty,empty,Studio
21,ART 112,02,Introduction to Sculpture,GER - CORE :: VP (Human Cultures - Visual and Performing Arts),empty,empty,Studio
22,ART 113,01,Introduction to Painting,GER - CORE :: VP (Human Cultures - Visual and Performing Arts),empty,empty,Studio
23,ART 124,01,Drawing,GER - CORE :: VP (Human Cultures - Visual and Performing Arts),empty,empty,Studio
24,ART 124,02,Drawing,GER - CORE :: VP (Human Cultures - Visual and Performing Arts),empty,empty,Studio
25,ART 124,03,Drawing,GER - CORE :: VP (Human Cultures - Visual and Performing Arts),empty,empty,Studio
26,ART 132,01,Histories of Art I,GER - CORE :: VP (Human Cultures - Visual and Performing Arts),empty,empty,Lecture
27,ART 133,01,Histories of Art II,GER - CORE :: VP (Human Cultures - Visual and Performing Arts),empty,empty,Lecture
28,ART 200,01,Introduction to Ceramics,GER - CORE :: VP (Human Cultures - Visual and Performing Arts),empty,empty,Studio
29,ART 200,02,Introduction to Ceramics,GER - CORE :: VP (Human Cultures - Visual and Performing Arts),empty,empty,Studio
30,ART 204,01,Themes in Painting,empty,ART 113 Introduction to Painting,empty,Studio
