,CourseCode,Section,CourseTitle,CourseTags,Prerequisites,CourseCluster,InstructionalFormat
0,ACC 111,01,Principles of Financial Accounting,empty,PRQ  - Department Chair Permission Required,empty,Lecture
1,ACC 111,02,Principles of Financial Accounting,empty,PRQ  - Department Chair Permission Required,empty,Lecture
2,ACC 301,BLK,Principles of Managerial Accounting,empty,ACC 111 AND ECN 111 AND (ECN 120 or MTH 120) AND declared ACC or BUS major AND department permission,empty,Lecture
3,ACC 312,01,Intermediate Accounting II,empty,ACC 311 Intermediate Financial Accounting I,empty,Lecture
4,ACC 340,01,Federal Income Taxation,empty,ACC 111 or ACC 120,empty,Lecture
5,ACC 350,01,Accounting Information Systems,empty,ACC 111 or ACC 120,empty,Lecture
6,ANT 101,01,Introduction to Anthropology,"GER - CORE :: HB (Empirical Study of Human Behavior), GER - Global Awareness :: IEJ (Identities, Equity, and Justice), GER - Global Awareness :: WC (World Cultures), IDS :: Anthropology",empty,empty,Lecture
7,ANT 101,02,Introduction to Anthropology,"GER - CORE :: HB (Empirical Study of Human Behavior), GER - Global Awareness :: IEJ (Identities, Equity, and Justice), GER - Global Awareness :: WC (World Cultures), IDS :: Anthropology",empty,empty,Lecture
8,ANT 105,01,Introduction to Archaeology,"GER - CORE :: HB (Empirical Study of Human Behavior), GER - Global Awareness :: WC (World Cultures), IDS :: Anthropology",empty,empty,Lecture
9,ANT 204,01,Modern Japanese Society through Films,"GER - CORE :: VP (Human Cultures - Visual and Performing Arts), GER - Global Awareness :: WC (World Cultures), IDS :: Anthropology, IDS :: Asian Studies, IDS :: Film Studies, IDS :: Japanese Studies",empty,empty,Lecture
10,ANT 250,01,Race and the U.S. Criminal Justice System,"GER - CORE :: HB (Empirical Study of Human Behavior), GER - Global Awareness :: IEJ (Identities, Equity, and Justice), IDS :: Anthropology",empty,empty,Lecture
11,ANT 254,01,The Power and Politics of Black Foodways,"GER - CORE :: HB (Empirical Study of Human Behavior), GER - Global Awareness :: IEJ (Identities, Equity, and Justice), GER - Global Awareness :: WC (World Cultures), IDS :: Africana Studies, IDS :: Anthropology",empty,empty,Lecture
