,CourseCode,Section,CourseTitle,CourseTags,Prerequisites,CourseCluster,InstructionalFormat
0,ACC 120,01,Principles of Financial and Managerial Accounting,empty,(No credit for ACC 111 or ACC 301) AND (First-Year or Sophomore Class Standing),empty,Lecture
1,ACC 120,02,Principles of Financial and Managerial Accounting,empty,(No credit for ACC 111 or ACC 301) AND (First-Year or Sophomore Class Standing),empty,Lecture
2,ACC 120,03,Principles of Financial and Managerial Accounting,empty,(No credit for ACC 111 or ACC 301) AND (First-Year or Sophomore Class Standing),empty,Lecture
3,ACC 301,BLK,Principles of Managerial Accounting,empty,(ACC 111) AND (declared BUS major) AND (no credit for ACC 120),empty,Lecture
4,ACC 301,BLK2,Principles of Managerial Accounting,empty,(ACC 111) AND (declared BUS major) AND (no credit for ACC 120),empty,Lecture
5,ACC 311,01,Intermediate Accounting I,empty,ACC 111 or ACC 120,empty,Lecture
6,ACC 320,01,Cost Accounting,empty,Declared Accounting Major,empty,Lecture
7,ACC 330,01,Auditing,empty,ACC 312 Intermediate Financial Accounting II,empty,Lecture
8,ACC 370,01,Intermediate Accounting III,empty,ACC 312 Intermediate Financial Accounting II,empty,Lecture
9,AFS 100,01,Introduction to Africana Studies,IDS :: Africana Studies,empty,empty,Lecture
10,AFS 210,01,Hip-Hop Studies,"GER - Global Awareness :: IEJ (Identities, Equity, and Justice)",empty,empty,Lecture
11,ANT 101,01,Introduction to Anthropology,"GER - CORE :: HB (Empirical Study of Human Behavior), GER - Global Awareness :: IEJ (Identities, Equity, and Justice), GER - Global Awareness :: WC (World Cultures), IDS :: Anthropology",empty,empty,Lecture
12,ANT 101,02,Introduction to Anthropology,"GER - CORE :: HB (Empirical Study of Human Behavior), GER - Global Awareness :: IEJ (Identities, Equity, and Justice), GER - Global Awareness :: WC (World Cultures), IDS :: Anthropology",empty,empty,Lecture
13,ANT 205,01,Japanese Popular Culture,"GER - CORE :: VP (Human Cultures - Visual and Performing Arts), GER - Global Awareness :: WC (World Cultures)",empty,empty,Lecture
14,ANT 230,01,Biological Anthropology,GER - Global Awareness :: NE (Humans and the Natural Environment),empty,empty,Lecture
15,ANT 262,01,Magic and Religion,"GER - Global Awareness :: WC (World Cultures), IDS :: Anthropology",empty,empty,Lecture
16,ANT 327,TU,Feminist Anthropology,"GER - CORE :: HB (Empirical Study of Human Behavior), GER - Writing :: WR (Writing-Research Intensive), IDS :: Anthropology, IDS :: Womenâ€™s, Gender, and Sexuality Studies",Instructor permission required,empty,Lecture
17,ANT 401,01,Anthropological Theory,"GER - Writing :: WR (Writing-Research Intensive), IDS :: Africana Studies, IDS :: Anthropology",SOC 101 OR ANT 101,empty,Lecture
18,ART 111,01,Introduction to Design,"GER - CORE :: VP (Human Cultures - Visual and Performing Arts), IDS :: Visual Strategy",empty,empty,Studio
19,ART 111,02,Introduction to Design,"GER - CORE :: VP (Human Cultures - Visual and Performing Arts), IDS :: Visual Strategy",empty,empty,Studio
20,ART 111,03,Introduction to Design,"GER - CORE :: VP (Human Cultures - Visual and Performing Arts), IDS :: Visual Strategy",empty,empty,Studio
21,ART 112,01,Introduction to Sculpture,GER - CORE :: VP (Human Cultures - Visual and Performing Arts),empty,empty,Studio
22,ART 112,03,Introduction to Sculpture,GER - CORE :: VP (Human Cultures - Visual and Performing Arts),empty,empty,Studio
23,ART 113,01,Introduction to Painting,GER - CORE :: VP (Human Cultures - Visual and Performing Arts),empty,empty,Studio
24,ART 113,02,Introduction to Painting,GER - CORE :: VP (Human Cultures - Visual and Performing Arts),empty,empty,Studio
25,ART 124,01,Drawing,GER - CORE :: VP (Human Cultures - Visual and Performing Arts),empty,empty,Studio
26,ART 124,02,Drawing,GER - CORE :: VP (Human Cultures - Visual and Performing Arts),empty,empty,Studio
27,ART 124,03,Drawing,GER - CORE :: VP (Human Cultures - Visual and Performing Arts),empty,empty,Studio
28,ART 132,01,Histories of Art I,GER - CORE :: VP (Human Cultures - Visual and Performing Arts),empty,empty,Lecture
