,CourseCode,CourseTitle,CourseTags,InstructionalFormat,Semester
36,AFS 210,Hip-Hop Studies,IEJ,Lecture,3_Spring-24
37,ANT 101,Introduction to Anthropology,"HB, IEJ, WC",Lecture,4_Fall-24
38,ANT 101,Introduction to Anthropology,"HB, IEJ, WC",Lecture,4_Fall-24
39,ANT 101,Introduction to Anthropology,"HB, IEJ, WC",Lecture,4_Fall-24
40,ANT 101,Introduction to Anthropology,"HB, WC",Lecture,0_Fall-22
41,ANT 101,Introduction to Anthropology,"HB, WC",Lecture,0_Fall-22
42,ANT 101,Introduction to Anthropology,"HB, IEJ, WC",Lecture,5_Spring-25
43,ANT 101,Introduction to Anthropology,"HB, IEJ, WC",Lecture,5_Spring-25
44,ANT 101,Introduction to Anthropology,"HB, WC",Lecture,1_Spring-23
45,ANT 101,Introduction to Anthropology,"HB, IEJ, WC",Lecture,4_Fall-24
46,ANT 105,Introduction to Archaeology,"HB, WC",Lecture,2_Fall-23
47,ANT 105,Introduction to Archaeology,"HB, WC",Lecture,4_Fall-24
48,ANT 204,Modern Japanese Society through Films,"VP, WC",Lecture,2_Fall-23
49,ANT 204,Modern Japanese Society through Films,"VP, WC",Lecture,0_Fall-22
50,ANT 205,Japanese Popular Culture,"VP, WC",Lecture,1_Spring-23
51,ANT 205,Japanese Popular Culture,"VP, WC",Lecture,5_Spring-25
52,ANT 205,Japanese Popular Culture,"VP, WC",Lecture,1_Spring-23
53,ANT 230,Biological Anthropology,NE,Laboratory,4_Fall-24
54,ANT 230,Biological Anthropology,NE,Lecture,4_Fall-24
55,ANT 230,Biological Anthropology,NE,Lecture,3_Spring-24
56,ANT 250,Race and the U.S. Criminal Justice System,HB,Lecture,0_Fall-22
57,ANT 250,Race and the U.S. Criminal Justice System,"HB, IEJ",Lecture,2_Fall-23
58,ANT 253,Anthropology of Development in Latin America,"IEJ, WC",Lecture,5_Spring-25
59,ANT 254,The Power and Politics of Black Foodways,"HB, IEJ, WC",Lecture,2_Fall-23
60,ANT 254,The Power and Politics of Black Foodways,"HB, IEJ, WC",Laboratory,2_Fall-23
61,ANT 258,Women in Africa and the African Diaspora,HB,Lecture,1_Spring-23
62,ANT 262,Magic and Religion,WC,Lecture,1_Spring-23
63,ANT 302,Anthropology of Race and Ethnicity,HB,Lecture,0_Fall-22
64,ANT 304,Archaeology Method and Theory,HB,Lecture,1_Spring-23
65,ANT 304,Archaeology Method and Theory,HB,Laboratory,1_Spring-23
66,ANT 305,Practicing Anthropology,HB,Lecture,2_Fall-23
67,ANT 306,Human Osteology & Paleopathology,NE,Lecture,5_Spring-25
68,ANT 306,Human Osteology & Paleopathology,NE,Laboratory,5_Spring-25
69,ANT 327,Feminist Anthropology,"HB, WR",Lecture,5_Spring-25
70,ANT 327,Feminist Anthropology,"HB, WR",Lecture,3_Spring-24
71,ANT 401,Anthropological Theory,WR,Lecture,3_Spring-24
72,ART 111,Introduction to Design,VP,Studio,0_Fall-22
73,ART 111,Introduction to Design,VP,Studio,0_Fall-22
74,ART 111,Introduction to Design,VP,Studio,0_Fall-22
75,ART 111,Introduction to Design,VP,Studio,1_Spring-23
76,ART 111,Introduction to Design,VP,Studio,1_Spring-23
77,ART 112,Introduction to Sculpture,VP,Studio,2_Fall-23
78,ART 112,Introduction to Sculpture,VP,Studio,2_Fall-23
79,ART 112,Introduction to Sculpture,VP,Studio,3_Spring-24
80,ART 113,Introduction to Painting,VP,Studio,0_Fall-22
81,ART 113,Introduction to Painting,VP,Studio,3_Spring-24
82,ART 124,Drawing,VP,Studio,4_Fall-24
83,ART 124,Drawing,VP,Studio,0_Fall-22
84,ART 124,Drawing,VP,Studio,5_Spring-25
85,ART 132,Histories of Art I,VP,Lecture,1_Spring-23
86,ART 133,Histories of Art II,VP,Lecture,1_Spring-23
87,ART 133,Histories of Art II,VP,Lecture,3_Spring-24
88,ART 200,Introduction to Ceramics,VP,Studio,3_Spring-24
89,ART 200,Introduction to Ceramics,VP,Studio,3_Spring-24
90,ART 200,Ceramics I,VP,Studio,1_Spring-23
91,ART 200,Ceramics I,VP,Studio,1_Spring-23
92,ART 200,Ceramics I,VP,Studio,0_Fall-22
95,ART 201,Themes in Ceramics,VP,Studio,4_Fall-24
98,ART 205,Darkroom Photography,VP,Studio,5_Spring-25
99,ART 205,Darkroom Photography,VP,Studio,2_Fall-23
100,ART 206,Digital Photography,VP,Studio,2_Fall-23
101,ART 206,Color and Digital Photography,VP,Studio,1_Spring-23
106,ART 224,Watermedia,VP,Lecture,2_Fall-23
107,ART 246,Twentieth Century Art,WR,Lecture,5_Spring-25
108,ART 251,Contemporary Art Since 1960,VP,Lecture,2_Fall-23
109,ART 252,Women and the Arts,"VP, WR",Lecture,3_Spring-24
110,ART 253,Art & Death,UQ,Lecture,2_Fall-23
111,ART 256,Art & Politics,"VP, IEJ",Lecture,4_Fall-24
112,ART 258,Embodied Representations,VP,Lecture,0_Fall-22
113,ART 258,"Embodied Representations: Art, Bodies, & Identities","VP, IEJ",Lecture,4_Fall-24
114,ART 259,History of Design,VP,Lecture,1_Spring-23
115,ART 263,Arts of Japan,"VP, WC",Lecture,5_Spring-25
116,ART 265,Museums Are Not Neutral,WR,Lecture,1_Spring-23
117,ART 265,Museums Are Not Neutral,WR,Lecture,5_Spring-25
120,ART 287,African-American Art (Visual Identity),"VP, IEJ",Lecture,3_Spring-24
123,ART 303,Photographic Essay,VP,Studio,3_Spring-24
124,ART 303,Photographic Essay,VP,Studio,1_Spring-23
141,AST 200,Introduction to Asian Studies,WC,Seminar,0_Fall-22
142,AST 200,Introduction to Asian Studies,"IEJ, WC",Seminar,4_Fall-24
143,AST 215,Archaeology of East Asia,"HB, WC",Lecture,4_Fall-24
144,AST 220,Ramayana,"UQ, WC",Lecture,0_Fall-22
145,AST 240,Archaeology of the Silk Road,"HA, WC",Lecture,5_Spring-25
146,AST 240,Archaeology of the Silk Road,"HA, WC",Lecture,1_Spring-23
147,AST 250,Human Development in Contemporary Asia,"HB, WC",Lecture,0_Fall-22
148,AST 255,Poverty  Gender and Development in India,"HB, WC",Lecture,2_Fall-23
149,AST 270,Languages of Asia,"HB, WC",Lecture,4_Fall-24
151,AST 470,Seminar in Asian Studies,WR,Seminar,3_Spring-24
152,AST 470,Seminar in Asian Studies,WR,Seminar,2_Fall-23
153,AST 470,Seminar in Asian Studies,WR,Seminar,3_Spring-24
154,AST 470,TU-Seminar in Asian Studies,WR,Seminar,2_Fall-23
157,BIO 101,Principles of Biology,NWL,Lecture,2_Fall-23
158,BIO 101,Principles of Biology,NWL,Laboratory,0_Fall-22
159,BIO 101,Principles of Biology,NWL,Lecture,0_Fall-22
