"Type","Program","Name","Reqs"
"M","CLS1","Classics, Historical Language and Literature Track, B.A.","",
"M","CLS2","Classics, Information, Tradition, and Text Track, B.A.","201+ GRK or LTN, cls ele, cls ele, cls ele, cls ele, cls ele, cls ele, cls ele, cls-401",
"M","CSBS","Computer Science, B.S.","csc-105, csc-121, csc-122, csc-223, csc-231, csc-261, csc-461, mth-150, 300+ from A or B, 300+ from A, 300+ from A, LLE, CAP, CE1, CE2, PP1, PP2, NEE1, NEE2",
"M","CSBA","Computer Science, B.A.","csc-105, csc-121, csc-122, csc-223, csc-231, csc-261, csc-461, mth-120 or 150, 300+ from A or B, 300+ from B, 300+ from B, LLE, CAP, CE1, CE2, PP1, PP2, NEE1, NEE2",
"M","ITBS","Information Technology, B.S.","csc-105, csc-121, csc-122, CAP, 300+ csc, 200+ csc, 300+ cog, 200+ cog, 200+ cog, CE1, CE2, PP1, PP2, NEE1, NEE2",
"M","PHL","Philosophy, B.A.","phl-101, HoP, NWP, VT, LME, 300+ phl, 300+ phl, 300+ phl, 200+ phl"
"m","DANm","Data Analytics Minor","csc-121, csc-272, mth-245, FE project, ele, non-mth/csc ele",
"m","DETHm","Digital Ethics Minor","csc-121, csc-271, phl-208, CAP, ele, non csc/phl ele"
# plan to add more majors and reqs
# should we add a column for conflicts? can't double major in CS, B.S. and CS, B.A. logically.
# also, should majors be merged into this file with majors? one file, but requires us to keep track of what is a major and minor.
