CourseCode,Section,CourseTitle,RoomId,Days,Time,Status,InstructorName,Mode,Fill
ACC 120,02,Principles of Financial and Managerial Accounting,HIP-202,TR,8:30 AM - 9:45 AM,Closed,Mark Bettner,In-Person,25/24
ACC 120,03,Principles of Financial and Managerial Accounting,HIP-202,MW,4:00 PM - 5:15 PM,Closed,Samuel Welchel,In-Person,26/24
ACC 120,04,Principles of Financial and Managerial Accounting,HIP-202,MW,6:00 PM - 7:15 PM,Closed,Greg Haselden,In-Person,25/24
ACC 311,01,Intermediate Accounting I,HIP-202,TR,11:30 AM - 12:45 PM,Closed,Mark Bettner,In-Person,24/24
ACC 313,01,Intermediate Accounting III,HIP-204,MWF,9:30 AM - 10:20 AM,Open,Sandy Roberson,In-Person,23/27
ACC 320,01,Cost Accounting,HIP-204,MWF,11:30 AM - 12:20 PM,Open,Sandy Roberson,In-Person,14/24
ACC 330,01,Auditing,HIP-204,TR,11:30 AM - 12:45 PM,Open,Tom Smythe,In-Person,12/24
AFS 100,01,Introduction to Africana Studies,HIP-102,MW,1:30 PM - 2:45 PM,Open,Marion McHugh,In-Person,17/24
ANT 101,01,Introduction to Anthropology,FUR-110,TR,1:00 PM - 2:15 PM,Closed,Kaniqua Robinson,In-Person,23/18
ANT 101,02,Introduction to Anthropology,FUR-207,MWF,9:30 AM - 10:20 AM,Closed,Scott Legge,In-Person,24/24
ANT 205,01,Japanese Popular Culture,FUR-204,TR,1:00 PM - 2:15 PM,Closed,Andrew Womack,In-Person,24/24
ANT 253,01,Anthropology of Development in Latin America,FUR-204,MWF,11:30 AM - 12:20 PM,Open,Shusuke Yagi,In-Person,21/24
ANT 262,01,Magic and Religion,FUR-126,MWF,10:30 AM - 11:20 AM,Closed,Karen Allen,In-Person,25/24
ANT 306,01,Human Osteology & Paleopathology,FUR-208,MWF,1:30 PM - 2:20 PM,Closed,Ed Yazijian,In-Person,24/24
ANT 306,01L,Human Osteology & Paleopathology,PYR-025,TR,10:00 AM - 11:15 AM,Open,Scott Legge,In-Person,7/18
ANT 327,01,Feminist Anthropology,PYR-025,T,3:00 PM - 5:20 PM,Open,Scott Legge,In-Person,7/18
ART 111,01,Introduction to Design,FUR-118,TR,11:30 AM - 12:45 PM,Closed,Kaniqua Robinson,In-Person,18/18
ART 111,02,Introduction to Design,RAB-DSS,TR,9:30 AM - 11:20 AM,Closed,Ross McClain,In-Person,12/12
ART 111,03,Introduction to Design,RAB-DSS,MW,1:30 PM - 3:20 PM,Closed,Dana Potter,In-Person,12/12
ART 112,01,Introduction to Sculpture,RAB-DSS,MW,3:30 PM - 5:20 PM,Open,Dana Potter,In-Person,11/12
ART 112,02,Introduction to Sculpture,RAB-SCS,MW,10:30 AM - 12:20 PM,Open,Derek Reese,In-Person,11/12
ART 113,01,Introduction to Painting,RAB-SCS,MW,8:30 AM - 10:20 AM,Open,Waylon Bigsby,In-Person,10/12
ART 124,01,Drawing,RAB-PTS,MW,9:30 AM - 11:20 AM,Closed,Michael May,In-Person,13/12
ART 124,02,Drawing,RAB-PTS,TR,9:30 AM - 11:20 AM,Open,Lindsay Gustave,In-Person,11/12
ART 124,03,Drawing,RAB-PTS,TR,11:30 AM - 1:20 PM,Open,Huan LaPlante,In-Person,10/12
ART 132,01,Histories of Art I,RAB-PTS,TR,1:30 PM - 3:20 PM,Open,Huan LaPlante,In-Person,11/12
ART 133,01,Histories of Art II,RAB-LLR,MWF,9:30 AM - 10:20 AM,Open,Kylie Fisher,In-Person,23/24
ART 200,01,Introduction to Ceramics,RAB-LLR,MWF,10:30 AM - 11:20 AM,Open,Stephen Mandravelis,In-Person,12/24
ART 200,02,Introduction to Ceramics,RAB-CRS,TR,9:30 AM - 11:20 AM,Closed,Kevin Kao,In-Person,12/12
ART 204,01,Themes in Painting,RAB-CRS,TR,1:30 PM - 3:20 PM,Closed,Kevin Kao,In-Person,12/12
ART 205,01,Darkroom Photography,RAB-PTS,MW,1:30 PM - 3:20 PM,Open,Michael May,In-Person,6/12
ART 206,01,Digital Photography,RAB-PRS,MW,9:30 AM - 11:20 AM,Open,Terri Bright,In-Person,10/12
ART 222,01,Media Art,RAB-PRS,MW,1:30 PM - 3:20 PM,Closed,Terri Bright,In-Person,12/12
ART 246,01,Twentieth Century Art,RAB-DSS,MW,9:30 AM - 11:20 AM,Open,Dana Potter,In-Person,8/12
ART 263,01,Arts of Japan,RAB-LLR,TR,10:00 AM - 11:15 AM,Open,Sarah Archino,In-Person,14/15
